x,y,z,d
2,2,6,1129.385495
2,2,7,1088.063295
2,2,8,1006.699239
2,2,9,867.6250158
2,2,10,670.5508432
2,3,0,443.8623656
2,3,1,540.2733465
2,3,2,617.1872796
2,3,3,668.8742278
2,3,4,697.6656374
2,3,5,706.8371035
2,3,6,697.6656374
2,3,7,668.8742278
2,3,8,617.1872796
2,3,9,540.2733465
2,3,10,443.8623656
2,4,0,317.5984948
2,4,1,371.2870043
2,4,2,416.3530846
2,4,3,448.9173855
2,4,4,468.1554054
2,4,5,474.4754287
2,4,6,468.1554054
2,4,7,448.9173855
2,4,8,416.3530846
2,4,9,371.2870043
2,4,10,317.5984948
2,5,0,239.2964004
2,5,1,271.8908552
2,5,2,299.7876759
2,5,3,320.6668115
2,5,4,333.4108533
2,5,5,337.6762567
2,5,6,333.4108533
2,5,7,320.6668115
2,5,8,299.7876759
2,5,9,271.8908552
2,5,10,239.2964004
2,6,0,186.9196842
2,6,1,207.9202305
2,6,2,225.9813591
2,6,3,239.7066572
2,6,4,248.2214548
2,6,5,251.0998468
2,6,6,248.2214548
2,6,7,239.7066572
2,6,8,225.9813591
2,6,9,207.9202305
2,6,10,186.9196842
2,7,0,149.9634107
2,7,1,164.0953219
2,7,2,176.223152
2,7,3,185.484027
2,7,4,191.2686856
2,7,5,193.2331848
2,7,6,191.2686856
2,7,7,185.484027
2,7,8,176.223152
2,7,9,164.0953219
2,7,10,149.9634107
2,8,0,122.84654
2,8,1,132.6818462
2,8,2,141.0768786
2,8,3,147.4839869
2,8,4,151.4929691
2,8,5,152.8565608
2,8,6,151.4929691
2,8,7,147.4839869
2,8,8,141.0768786
2,8,9,132.6818462
2,8,10,122.84654
2,9,0,102.3448409
2,9,1,109.3792629
2,9,2,115.3432113
2,9,3,119.8806437
2,9,4,122.7170772
2,9,5,123.6817713
2,9,6,122.7170772
2,9,7,119.8806437
2,9,8,115.3432113
2,9,9,109.3792629
2,9,10,102.3448409
2,10,0,86.47179216
2,10,1,91.61967015
2,10,2,95.95338228
2,10,3,99.23643869
2,10,4,101.2841745
2,10,5,101.9800028
2,10,6,101.2841745
2,10,7,99.23643869
2,10,8,95.95338228
2,10,9,91.61967015
2,10,10,86.47179216
3,0,0,762.2374257
3,0,1,1007.755119
3,0,2,1171.724784
3,0,3,1262.786167
3,0,4,1307.687942
3,0,5,1321.221844
3,0,6,1307.687942
3,0,7,1262.786167
3,0,8,1171.724784
3,0,9,1007.755119
3,0,10,762.2374257
3,1,0,670.5508432
3,1,1,867.6250158
3,1,2,1006.699239
3,1,3,1088.063295
3,1,4,1129.385495
3,1,5,1141.996418
3,1,6,1129.385495
3,1,7,1088.063295
3,1,8,1006.699239
3,1,9,867.6250158
3,1,10,670.5508432
3,2,0,508.2755723
3,2,1,630.3192308
3,2,2,724.624443
3,2,3,785.5246394
3,2,4,818.4826516
3,2,5,828.8347275
3,2,6,818.4826516
3,2,7,785.5246394
3,2,8,724.624443
3,2,9,630.3192308
3,2,10,508.2755723
3,3,0,377.0496453
3,3,1,449.5684185
3,3,2,509.1396886
3,3,3,550.8019072
3,3,4,574.7448709
3,3,5,582.4946302
3,3,6,574.7448709
3,3,7,550.8019072
3,3,8,509.1396886
